2020-01-26 00:23:13.234325 Epoch [024/100], Step [0000/1056], Loss: 0.5370
2020-01-26 00:25:48.137726 Epoch [024/100], Step [0400/1056], Loss: 0.1325
2020-01-26 00:28:23.384918 Epoch [024/100], Step [0800/1056], Loss: 0.1588
2020-01-26 00:30:04.173392 Epoch [025/100], Step [0000/1056], Loss: 0.1229
2020-01-26 00:32:39.218030 Epoch [025/100], Step [0400/1056], Loss: 0.0940
2020-01-26 00:35:14.418824 Epoch [025/100], Step [0800/1056], Loss: 0.0737
2020-01-26 00:36:54.013728 Epoch [026/100], Step [0000/1056], Loss: 0.1088
2020-01-26 00:39:29.142355 Epoch [026/100], Step [0400/1056], Loss: 0.1244
2020-01-26 00:42:03.962171 Epoch [026/100], Step [0800/1056], Loss: 0.1908
2020-01-26 00:43:43.265035 Epoch [027/100], Step [0000/1056], Loss: 0.0938
2020-01-26 00:46:18.208726 Epoch [027/100], Step [0400/1056], Loss: 0.1087
2020-01-26 00:48:53.133906 Epoch [027/100], Step [0800/1056], Loss: 0.0842
2020-01-26 00:50:32.583364 Epoch [028/100], Step [0000/1056], Loss: 0.0799
2020-01-26 00:53:07.822555 Epoch [028/100], Step [0400/1056], Loss: 0.0920
2020-01-26 00:55:43.097440 Epoch [028/100], Step [0800/1056], Loss: 0.0824
2020-01-26 00:57:22.667498 Epoch [029/100], Step [0000/1056], Loss: 0.0693
2020-01-26 00:59:58.026983 Epoch [029/100], Step [0400/1056], Loss: 0.0872
2020-01-26 01:02:33.425550 Epoch [029/100], Step [0800/1056], Loss: 0.0716
2020-01-26 01:04:14.007841 Epoch [030/100], Step [0000/1056], Loss: 0.0765
2020-01-26 01:06:48.823954 Epoch [030/100], Step [0400/1056], Loss: 0.0649
2020-01-26 01:09:23.649085 Epoch [030/100], Step [0800/1056], Loss: 0.1052
2020-01-26 01:11:03.228263 Epoch [031/100], Step [0000/1056], Loss: 0.1071
2020-01-26 01:13:38.173908 Epoch [031/100], Step [0400/1056], Loss: 0.1102
2020-01-26 01:16:13.096746 Epoch [031/100], Step [0800/1056], Loss: 0.1108
2020-01-26 01:17:52.598321 Epoch [032/100], Step [0000/1056], Loss: 0.0925
2020-01-26 01:20:27.572227 Epoch [032/100], Step [0400/1056], Loss: 0.0761
2020-01-26 01:23:02.577360 Epoch [032/100], Step [0800/1056], Loss: 0.0706
2020-01-26 01:24:41.941707 Epoch [033/100], Step [0000/1056], Loss: 0.0781
2020-01-26 01:27:17.125338 Epoch [033/100], Step [0400/1056], Loss: 0.0903
2020-01-26 01:29:52.205067 Epoch [033/100], Step [0800/1056], Loss: 0.0802
2020-01-26 01:31:31.614300 Epoch [034/100], Step [0000/1056], Loss: 0.0650
2020-01-26 01:34:06.518215 Epoch [034/100], Step [0400/1056], Loss: 0.0714
2020-01-26 01:36:41.504260 Epoch [034/100], Step [0800/1056], Loss: 0.0818
2020-01-26 01:38:22.185415 Epoch [035/100], Step [0000/1056], Loss: 0.1112
2020-01-26 01:40:57.139391 Epoch [035/100], Step [0400/1056], Loss: 0.2071
2020-01-26 01:43:32.181380 Epoch [035/100], Step [0800/1056], Loss: 0.1031
2020-01-26 01:45:11.648556 Epoch [036/100], Step [0000/1056], Loss: 0.0673
2020-01-26 01:47:46.832358 Epoch [036/100], Step [0400/1056], Loss: 0.0949
2020-01-26 01:50:22.126004 Epoch [036/100], Step [0800/1056], Loss: 0.0803
2020-01-26 01:52:01.675028 Epoch [037/100], Step [0000/1056], Loss: 0.0790
2020-01-26 01:54:36.853977 Epoch [037/100], Step [0400/1056], Loss: 0.0705
2020-01-26 01:57:11.905564 Epoch [037/100], Step [0800/1056], Loss: 0.0707
2020-01-26 01:58:51.277932 Epoch [038/100], Step [0000/1056], Loss: 0.0937
2020-01-26 02:01:26.289109 Epoch [038/100], Step [0400/1056], Loss: 0.0676
2020-01-26 02:04:01.402901 Epoch [038/100], Step [0800/1056], Loss: 0.5705
2020-01-26 02:05:40.724684 Epoch [039/100], Step [0000/1056], Loss: 0.3732
2020-01-26 02:08:15.730688 Epoch [039/100], Step [0400/1056], Loss: 0.0846
2020-01-26 02:10:50.985787 Epoch [039/100], Step [0800/1056], Loss: 0.0672
2020-01-26 02:12:32.011253 Epoch [040/100], Step [0000/1056], Loss: 0.0765
2020-01-26 02:15:07.223465 Epoch [040/100], Step [0400/1056], Loss: 0.0654
2020-01-26 02:17:42.383953 Epoch [040/100], Step [0800/1056], Loss: 0.0864
2020-01-26 02:19:21.841443 Epoch [041/100], Step [0000/1056], Loss: 0.0600
2020-01-26 02:21:56.991289 Epoch [041/100], Step [0400/1056], Loss: 0.0807
2020-01-26 02:24:32.004374 Epoch [041/100], Step [0800/1056], Loss: 0.1486
2020-01-26 02:26:11.332885 Epoch [042/100], Step [0000/1056], Loss: 0.1045
2020-01-26 02:28:46.062438 Epoch [042/100], Step [0400/1056], Loss: 0.0870
2020-01-26 02:31:21.009151 Epoch [042/100], Step [0800/1056], Loss: 0.0874
2020-01-26 02:33:00.400440 Epoch [043/100], Step [0000/1056], Loss: 0.0744
2020-01-26 02:35:35.341541 Epoch [043/100], Step [0400/1056], Loss: 0.0850
2020-01-26 02:38:10.449664 Epoch [043/100], Step [0800/1056], Loss: 0.0732
2020-01-26 02:39:50.044795 Epoch [044/100], Step [0000/1056], Loss: 0.0564
2020-01-26 02:42:25.002827 Epoch [044/100], Step [0400/1056], Loss: 0.0629
2020-01-26 02:45:00.144960 Epoch [044/100], Step [0800/1056], Loss: 0.0864
2020-01-26 02:46:40.945746 Epoch [045/100], Step [0000/1056], Loss: 0.1523
2020-01-26 02:49:15.996370 Epoch [045/100], Step [0400/1056], Loss: 0.0564
2020-01-26 02:51:50.886148 Epoch [045/100], Step [0800/1056], Loss: 0.0667
2020-01-26 02:53:30.323475 Epoch [046/100], Step [0000/1056], Loss: 0.0641
2020-01-26 02:56:05.187917 Epoch [046/100], Step [0400/1056], Loss: 0.2177
2020-01-26 02:58:40.125287 Epoch [046/100], Step [0800/1056], Loss: 0.1184
2020-01-26 03:00:19.714011 Epoch [047/100], Step [0000/1056], Loss: 0.0752
2020-01-26 03:02:54.676651 Epoch [047/100], Step [0400/1056], Loss: 0.0831
2020-01-26 03:05:29.839324 Epoch [047/100], Step [0800/1056], Loss: 0.0869
2020-01-26 03:07:09.331382 Epoch [048/100], Step [0000/1056], Loss: 0.0738
2020-01-26 03:09:44.452966 Epoch [048/100], Step [0400/1056], Loss: 0.0830
2020-01-26 03:12:19.677031 Epoch [048/100], Step [0800/1056], Loss: 0.0626
2020-01-26 03:13:59.382057 Epoch [049/100], Step [0000/1056], Loss: 0.0697
2020-01-26 03:16:34.416721 Epoch [049/100], Step [0400/1056], Loss: 0.0660
2020-01-26 03:19:09.302263 Epoch [049/100], Step [0800/1056], Loss: 0.0638
2020-01-26 03:20:50.089511 Epoch [050/100], Step [0000/1056], Loss: 0.0853
2020-01-26 03:23:25.101342 Epoch [050/100], Step [0400/1056], Loss: 0.0702
2020-01-26 03:26:00.226806 Epoch [050/100], Step [0800/1056], Loss: 0.0548
2020-01-26 03:27:39.831647 Epoch [051/100], Step [0000/1056], Loss: 0.0610
2020-01-26 03:30:14.966700 Epoch [051/100], Step [0400/1056], Loss: 0.0631
2020-01-26 03:32:50.101794 Epoch [051/100], Step [0800/1056], Loss: 0.0805
2020-01-26 03:34:29.703720 Epoch [052/100], Step [0000/1056], Loss: 0.0602
2020-01-26 03:37:04.850323 Epoch [052/100], Step [0400/1056], Loss: 0.0777
2020-01-26 03:39:39.783582 Epoch [052/100], Step [0800/1056], Loss: 0.0702
2020-01-26 03:41:19.395350 Epoch [053/100], Step [0000/1056], Loss: 0.0654
2020-01-26 03:43:54.258338 Epoch [053/100], Step [0400/1056], Loss: 0.0678
2020-01-26 03:46:29.096800 Epoch [053/100], Step [0800/1056], Loss: 0.0587
2020-01-26 03:48:08.609717 Epoch [054/100], Step [0000/1056], Loss: 0.0488
2020-01-26 03:50:43.514672 Epoch [054/100], Step [0400/1056], Loss: 0.0479
2020-01-26 03:53:18.428784 Epoch [054/100], Step [0800/1056], Loss: 0.0628
2020-01-26 03:54:59.198353 Epoch [055/100], Step [0000/1056], Loss: 0.0763
2020-01-26 03:57:34.119816 Epoch [055/100], Step [0400/1056], Loss: 0.0730
2020-01-26 04:00:09.311221 Epoch [055/100], Step [0800/1056], Loss: 0.0578
2020-01-26 04:01:49.103174 Epoch [056/100], Step [0000/1056], Loss: 0.0731
2020-01-26 04:04:24.292428 Epoch [056/100], Step [0400/1056], Loss: 0.0504
2020-01-26 04:06:59.271005 Epoch [056/100], Step [0800/1056], Loss: 0.0466
2020-01-26 04:08:38.667645 Epoch [057/100], Step [0000/1056], Loss: 0.0628
2020-01-26 04:11:13.416623 Epoch [057/100], Step [0400/1056], Loss: 0.0956
2020-01-26 04:13:48.507799 Epoch [057/100], Step [0800/1056], Loss: 0.0576
2020-01-26 04:15:28.006454 Epoch [058/100], Step [0000/1056], Loss: 0.0538
2020-01-26 04:18:03.099705 Epoch [058/100], Step [0400/1056], Loss: 0.0696
2020-01-26 04:20:38.277124 Epoch [058/100], Step [0800/1056], Loss: 0.0558
2020-01-26 04:22:17.795407 Epoch [059/100], Step [0000/1056], Loss: 0.0806
2020-01-26 04:24:52.969642 Epoch [059/100], Step [0400/1056], Loss: 0.0594
2020-01-26 04:27:28.136493 Epoch [059/100], Step [0800/1056], Loss: 0.0570
2020-01-26 04:29:08.902665 Epoch [060/100], Step [0000/1056], Loss: 0.0819
2020-01-26 04:31:44.125134 Epoch [060/100], Step [0400/1056], Loss: 0.0662
2020-01-26 04:34:19.101534 Epoch [060/100], Step [0800/1056], Loss: 0.0901
2020-01-26 04:35:58.621755 Epoch [061/100], Step [0000/1056], Loss: 0.0649
2020-01-26 04:38:33.714265 Epoch [061/100], Step [0400/1056], Loss: 0.0841
2020-01-26 04:41:08.752580 Epoch [061/100], Step [0800/1056], Loss: 0.0544
2020-01-26 04:42:48.209006 Epoch [062/100], Step [0000/1056], Loss: 0.0663
2020-01-26 04:45:23.361027 Epoch [062/100], Step [0400/1056], Loss: 0.0563
2020-01-26 04:47:58.577248 Epoch [062/100], Step [0800/1056], Loss: 0.0646
2020-01-26 04:49:38.084043 Epoch [063/100], Step [0000/1056], Loss: 0.0564
2020-01-26 04:52:12.985883 Epoch [063/100], Step [0400/1056], Loss: 0.0632
2020-01-26 04:54:48.130087 Epoch [063/100], Step [0800/1056], Loss: 0.0713
2020-01-26 04:56:27.573413 Epoch [064/100], Step [0000/1056], Loss: 0.0692
2020-01-26 04:59:02.778874 Epoch [064/100], Step [0400/1056], Loss: 0.0537
2020-01-26 05:01:37.981294 Epoch [064/100], Step [0800/1056], Loss: 0.0544
2020-01-26 05:03:18.693600 Epoch [065/100], Step [0000/1056], Loss: 0.0705
2020-01-26 05:05:53.363693 Epoch [065/100], Step [0400/1056], Loss: 0.0691
2020-01-26 05:08:28.094384 Epoch [065/100], Step [0800/1056], Loss: 0.0546
2020-01-26 05:10:07.484392 Epoch [066/100], Step [0000/1056], Loss: 0.0635
2020-01-26 05:12:42.612268 Epoch [066/100], Step [0400/1056], Loss: 0.0554
2020-01-26 05:15:17.680608 Epoch [066/100], Step [0800/1056], Loss: 0.0477
2020-01-26 05:16:57.358698 Epoch [067/100], Step [0000/1056], Loss: 0.0571
2020-01-26 05:19:32.565309 Epoch [067/100], Step [0400/1056], Loss: 0.0713
2020-01-26 05:22:07.790762 Epoch [067/100], Step [0800/1056], Loss: 0.0593
2020-01-26 05:23:47.472876 Epoch [068/100], Step [0000/1056], Loss: 0.0613
2020-01-26 05:26:22.626377 Epoch [068/100], Step [0400/1056], Loss: 0.0607
2020-01-26 05:28:57.834090 Epoch [068/100], Step [0800/1056], Loss: 0.0434
2020-01-26 05:30:37.319605 Epoch [069/100], Step [0000/1056], Loss: 0.0450
2020-01-26 05:33:12.055194 Epoch [069/100], Step [0400/1056], Loss: 0.0576
2020-01-26 05:35:46.884105 Epoch [069/100], Step [0800/1056], Loss: 0.0764
2020-01-26 05:37:27.717767 Epoch [070/100], Step [0000/1056], Loss: 0.0483
2020-01-26 05:40:02.633758 Epoch [070/100], Step [0400/1056], Loss: 0.0593
2020-01-26 05:42:37.637613 Epoch [070/100], Step [0800/1056], Loss: 0.0641
2020-01-26 05:44:17.210002 Epoch [071/100], Step [0000/1056], Loss: 0.0482
2020-01-26 05:46:52.446227 Epoch [071/100], Step [0400/1056], Loss: 0.0565
2020-01-26 05:49:27.710403 Epoch [071/100], Step [0800/1056], Loss: 0.0632
2020-01-26 05:51:07.334311 Epoch [072/100], Step [0000/1056], Loss: 0.0521
2020-01-26 05:53:42.497403 Epoch [072/100], Step [0400/1056], Loss: 0.0580
2020-01-26 05:56:17.562863 Epoch [072/100], Step [0800/1056], Loss: 0.0631
2020-01-26 05:57:56.900676 Epoch [073/100], Step [0000/1056], Loss: 0.0707
2020-01-26 06:00:31.696945 Epoch [073/100], Step [0400/1056], Loss: 0.0686
2020-01-26 06:03:06.708520 Epoch [073/100], Step [0800/1056], Loss: 0.0769
2020-01-26 06:04:46.123518 Epoch [074/100], Step [0000/1056], Loss: 0.0607
2020-01-26 06:07:21.136810 Epoch [074/100], Step [0400/1056], Loss: 0.0606
2020-01-26 06:09:56.177754 Epoch [074/100], Step [0800/1056], Loss: 0.0699
2020-01-26 06:11:36.765067 Epoch [075/100], Step [0000/1056], Loss: 0.0550
2020-01-26 06:14:11.668303 Epoch [075/100], Step [0400/1056], Loss: 0.0560
2020-01-26 06:16:46.638511 Epoch [075/100], Step [0800/1056], Loss: 0.0582
2020-01-26 06:18:26.229448 Epoch [076/100], Step [0000/1056], Loss: 0.0638
2020-01-26 06:21:01.381736 Epoch [076/100], Step [0400/1056], Loss: 0.0572
2020-01-26 06:23:36.660665 Epoch [076/100], Step [0800/1056], Loss: 0.0639
2020-01-26 06:25:16.198769 Epoch [077/100], Step [0000/1056], Loss: 0.0634
2020-01-26 06:27:51.160993 Epoch [077/100], Step [0400/1056], Loss: 0.0915
2020-01-26 06:30:25.981622 Epoch [077/100], Step [0800/1056], Loss: 0.0583
2020-01-26 06:32:05.567684 Epoch [078/100], Step [0000/1056], Loss: 0.0626
2020-01-26 06:34:40.423521 Epoch [078/100], Step [0400/1056], Loss: 0.0984
2020-01-26 06:37:15.498361 Epoch [078/100], Step [0800/1056], Loss: 0.0683
2020-01-26 06:38:55.047914 Epoch [079/100], Step [0000/1056], Loss: 0.0731
2020-01-26 06:41:30.168368 Epoch [079/100], Step [0400/1056], Loss: 0.0540
2020-01-26 06:44:05.842689 Epoch [079/100], Step [0800/1056], Loss: 0.0783
2020-01-26 06:45:47.511012 Epoch [080/100], Step [0000/1056], Loss: 0.0558
2020-01-26 06:48:22.780275 Epoch [080/100], Step [0400/1056], Loss: 0.0785
2020-01-26 06:50:58.289799 Epoch [080/100], Step [0800/1056], Loss: 0.0617
2020-01-26 06:52:37.913866 Epoch [081/100], Step [0000/1056], Loss: 0.0576
2020-01-26 06:55:12.832573 Epoch [081/100], Step [0400/1056], Loss: 0.0799
2020-01-26 06:57:47.730050 Epoch [081/100], Step [0800/1056], Loss: 0.0605
2020-01-26 06:59:27.165229 Epoch [082/100], Step [0000/1056], Loss: 0.0860
2020-01-26 07:02:02.338640 Epoch [082/100], Step [0400/1056], Loss: 0.0476
2020-01-26 07:04:37.603064 Epoch [082/100], Step [0800/1056], Loss: 0.0675
2020-01-26 07:06:17.008251 Epoch [083/100], Step [0000/1056], Loss: 0.0569
2020-01-26 07:08:52.121860 Epoch [083/100], Step [0400/1056], Loss: 0.0673
2020-01-26 07:11:27.316421 Epoch [083/100], Step [0800/1056], Loss: 0.0465
2020-01-26 07:13:06.996640 Epoch [084/100], Step [0000/1056], Loss: 0.0554
2020-01-26 07:15:42.051817 Epoch [084/100], Step [0400/1056], Loss: 0.0528
2020-01-26 07:18:17.303467 Epoch [084/100], Step [0800/1056], Loss: 0.0497
2020-01-26 07:19:58.818613 Epoch [085/100], Step [0000/1056], Loss: 0.0631
2020-01-26 07:22:33.740039 Epoch [085/100], Step [0400/1056], Loss: 0.0590
2020-01-26 07:25:09.037145 Epoch [085/100], Step [0800/1056], Loss: 0.0671
2020-01-26 07:26:48.311564 Epoch [086/100], Step [0000/1056], Loss: 0.0649
2020-01-26 07:29:23.496215 Epoch [086/100], Step [0400/1056], Loss: 0.0586
2020-01-26 07:31:58.913669 Epoch [086/100], Step [0800/1056], Loss: 0.0541
2020-01-26 07:33:38.869764 Epoch [087/100], Step [0000/1056], Loss: 0.0623
2020-01-26 07:36:14.247752 Epoch [087/100], Step [0400/1056], Loss: 0.0607
2020-01-26 07:38:49.570943 Epoch [087/100], Step [0800/1056], Loss: 0.0644
2020-01-26 07:40:29.545586 Epoch [088/100], Step [0000/1056], Loss: 0.0572
2020-01-26 07:43:05.135318 Epoch [088/100], Step [0400/1056], Loss: 0.0574
2020-01-26 07:45:40.920189 Epoch [088/100], Step [0800/1056], Loss: 0.0680
2020-01-26 07:47:20.676751 Epoch [089/100], Step [0000/1056], Loss: 0.0486
2020-01-26 07:49:55.805813 Epoch [089/100], Step [0400/1056], Loss: 0.0727
2020-01-26 07:52:31.055057 Epoch [089/100], Step [0800/1056], Loss: 0.0468
2020-01-26 07:54:13.621135 Epoch [090/100], Step [0000/1056], Loss: 0.0586
2020-01-26 07:56:48.638158 Epoch [090/100], Step [0400/1056], Loss: 0.0519
2020-01-26 07:59:24.188518 Epoch [090/100], Step [0800/1056], Loss: 0.0620
2020-01-26 08:01:04.439490 Epoch [091/100], Step [0000/1056], Loss: 0.0646
2020-01-26 08:03:39.554078 Epoch [091/100], Step [0400/1056], Loss: 0.0776
2020-01-26 08:06:15.989336 Epoch [091/100], Step [0800/1056], Loss: 0.0530
2020-01-26 08:07:57.275950 Epoch [092/100], Step [0000/1056], Loss: 0.0568
2020-01-26 08:10:33.229446 Epoch [092/100], Step [0400/1056], Loss: 0.0612
2020-01-26 08:13:09.529198 Epoch [092/100], Step [0800/1056], Loss: 0.0552
2020-01-26 08:14:49.108533 Epoch [093/100], Step [0000/1056], Loss: 0.0638
2020-01-26 08:17:24.960698 Epoch [093/100], Step [0400/1056], Loss: 0.0524
2020-01-26 08:20:01.052625 Epoch [093/100], Step [0800/1056], Loss: 0.0711
2020-01-26 08:21:41.056540 Epoch [094/100], Step [0000/1056], Loss: 0.0727
2020-01-26 08:24:16.111323 Epoch [094/100], Step [0400/1056], Loss: 0.0608
2020-01-26 08:26:52.150924 Epoch [094/100], Step [0800/1056], Loss: 0.0606
2020-01-26 08:28:35.395071 Epoch [095/100], Step [0000/1056], Loss: 0.0492
2020-01-26 08:31:10.250669 Epoch [095/100], Step [0400/1056], Loss: 0.0731
2020-01-26 08:33:45.255625 Epoch [095/100], Step [0800/1056], Loss: 0.0556
2020-01-26 08:35:25.794790 Epoch [096/100], Step [0000/1056], Loss: 0.0546
2020-01-26 08:38:01.991947 Epoch [096/100], Step [0400/1056], Loss: 0.0590
2020-01-26 08:40:37.791898 Epoch [096/100], Step [0800/1056], Loss: 0.0614
2020-01-26 08:42:17.415863 Epoch [097/100], Step [0000/1056], Loss: 0.0726
2020-01-26 08:44:52.781049 Epoch [097/100], Step [0400/1056], Loss: 0.0620
2020-01-26 08:47:28.618408 Epoch [097/100], Step [0800/1056], Loss: 0.0666
2020-01-26 08:49:09.154837 Epoch [098/100], Step [0000/1056], Loss: 0.0657
2020-01-26 08:51:44.298201 Epoch [098/100], Step [0400/1056], Loss: 0.0671
2020-01-26 08:54:19.689130 Epoch [098/100], Step [0800/1056], Loss: 0.0405
2020-01-26 08:55:59.557504 Epoch [099/100], Step [0000/1056], Loss: 0.0786
2020-01-26 08:58:35.310420 Epoch [099/100], Step [0400/1056], Loss: 0.0830
2020-01-26 09:01:10.759031 Epoch [099/100], Step [0800/1056], Loss: 0.0616
ECSSD Average mean absolute error:0.03751568075595423
ECSSD Average F-measure:0.9262559095224654
ECSSD Max F-measure:0.9357759998453035
PASCAL-S Average mean absolute error:0.06923907235899926
PASCAL-S Average F-measure:0.846843642708456
PASCAL-S Max F-measure:0.8602230322947036
DUT-OMRON Average mean absolute error:0.05405358089934317
DUT-OMRON Average F-measure:0.783469176376877
DUT-OMRON Max F-measure:0.7920061025538314
HKU-IS Average mean absolute error:0.031243584483691165
HKU-IS Average F-measure:0.9140052479242787
HKU-IS Max F-measure:0.9242922577761967
SOD Average mean absolute error:0.1138125939022666
SOD Average F-measure:0.8291012293593454
SOD Max F-measure:0.8489792815153333
MSRA-B Average mean absolute error:0.037107589666335844
MSRA-B Average F-measure:0.90723080274573
MSRA-B Max F-measure:0.9188869440833317
DUTS-TE Average mean absolute error:0.042072366014310886
DUTS-TE Average F-measure:0.8480800901861437
DUTS-TE Max F-measure:0.8579293113948128
ECSSD Average mean absolute error:0.03953297478251625
ECSSD Average F-measure:0.9111917807949826
ECSSD Max F-measure:0.9368362186551897
PASCAL-S Average mean absolute error:0.07173360804821748
PASCAL-S Average F-measure:0.8309012939843672
PASCAL-S Max F-measure:0.8608490875058532
DUT-OMRON Average mean absolute error:0.05619514443701195
DUT-OMRON Average F-measure:0.7678548850404296
DUT-OMRON Max F-measure:0.7945856981129114
HKU-IS Average mean absolute error:0.03337588131973044
HKU-IS Average F-measure:0.8956391497239053
HKU-IS Max F-measure:0.9257069813482109
SOD Average mean absolute error:0.11273205120659743
SOD Average F-measure:0.8267140509829731
